rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,id
1,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (with Playboi Carti),XO / Republic Records,1,-1,1,16201681,1Es7AUAhQvapIcoh3qMKDL
7,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,1,6,25,9713707,2HRqTpkrJO5ggZyyK6NPWz
9,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,Sabrina Carpenter,Please Please Please,Island Records,1,7,17,8736065,2tHwzyyOLoWSFqYNjeVMzj
151,spotify:track:0ydx75YiFzLjjQknKFNFwt,Alex Warren,Burning Down,Atlantic Records,126,126,2,2608013,0ydx75YiFzLjjQknKFNFwt
154,spotify:track:0CFhbNsY7CsuSkBQOiLPzz,"NLE Choppa, 41, Kyle Richh",Or What,Warner Records,154,-1,1,2593082,0CFhbNsY7CsuSkBQOiLPzz
159,spotify:track:3rXlcLZk3MCaRPND5g9QiW,"Tee Grizzley, J. Cole",Blow for Blow (feat. J. Cole),300 Entertainment,159,-1,1,2557237,3rXlcLZk3MCaRPND5g9QiW
3,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (with Playboi Carti),XO / Republic Records,3,-1,1,44559328,1Es7AUAhQvapIcoh3qMKDL
6,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,1,5,25,39043222,2HRqTpkrJO5ggZyyK6NPWz
9,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,Sabrina Carpenter,Please Please Please,Island Records,1,7,17,31402675,2tHwzyyOLoWSFqYNjeVMzj
41,spotify:track:0Sr7ssScx54yxdM2ols7nW,"Omar Courtz, De La Rose",Q U E V A S H A C E R H O Y ?,Mr. 305 Records / Rimas Entertainment,41,-1,1,16123288,0Sr7ssScx54yxdM2ols7nW
197,spotify:track:0SoBfYjQHvL6cuWHtPUYnq,"Valentino Merlo, The La Planta",Hoy,TLP Records,197,-1,1,8935265,0SoBfYjQHvL6cuWHtPUYnq
16,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (with Playboi Carti),XO / Republic Records,16,-1,1,125272,1Es7AUAhQvapIcoh3qMKDL
44,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,13,36,25,82016,2HRqTpkrJO5ggZyyK6NPWz
83,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,Sabrina Carpenter,Please Please Please,Island Records,18,77,17,53201,2tHwzyyOLoWSFqYNjeVMzj
175,spotify:track:7rdGrVIoqwPWOULauvglio,Adam Levine,Lost Stars,Interscope Records*,175,-1,1,35774,7rdGrVIoqwPWOULauvglio
