rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,id
1,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (with Playboi Carti),XO / Republic Records,1,-1,1,16201681,1Es7AUAhQvapIcoh3qMKDL
2,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,1,1,7,13576298,2plbrEY59IikOBgBGLjaoe
3,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,1,2,6,13477586,5G2f63n7IPVPPjfNIGih7Q
4,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,1,3,26,12047867,0WbMK4wrZ1wFSty9F7FCgu
5,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,2,4,20,11407538,6dOtVTDdiauQNBQEDOtlAB
6,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,2,5,11,10563283,7tI8dRuH2Yc6RuoTjxo4dU
7,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,1,6,25,9713707,2HRqTpkrJO5ggZyyK6NPWz
8,spotify:track:1UHS8Rf6h5Ar3CDWRd3wjF,Sabrina Carpenter,Bed Chem,Island Records,7,8,6,8911295,1UHS8Rf6h5Ar3CDWRd3wjF
9,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,Sabrina Carpenter,Please Please Please,Island Records,1,7,17,8736065,2tHwzyyOLoWSFqYNjeVMzj
10,spotify:track:5IZXB5IKAD2qlvTPJYDCFB,"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),Mercury Records / Republic Records,1,10,21,8574690,5IZXB5IKAD2qlvTPJYDCFB
11,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,3,11,25,8551728,5fZJQrFKWQLb7FpJXZ1g7K
12,spotify:track:4xdBrk0nFZaP54vvZj0yx7,Chappell Roan,HOT TO GO!,Chappell Roan PS/ Island,9,9,25,8000192,4xdBrk0nFZaP54vvZj0yx7
13,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",1,12,22,6849595,6AI3ezQ4o3HUoP6Dhudph3
14,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,14,14,10,6641201,2262bWmqomIaJXwCRHr13j
15,spotify:track:1k2pQc5i348DCHwbn5KTdc,Chappell Roan,Pink Pony Club,Chappell Roan PS/ Island,12,13,17,6616980,1k2pQc5i348DCHwbn5KTdc
16,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,15,37,6417011,3xkHsmpQCBMytMJNiDf3Ii
17,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,Tommy Richman,MILLION DOLLAR BABY,PULSE Records,2,16,23,6075987,5AJ9hqTS2wcFQCELCFRO7A
18,spotify:track:4KULAymBBJcPRpk1yO4dOG,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),Warner Records,1,17,58,5965873,4KULAymBBJcPRpk1yO4dOG
19,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,2,21,101,5910429,0mflMxspEfB0VbI1kyLiAv
20,spotify:track:102YUQbYmwdBXS7jwamI90,Sabrina Carpenter,Good Graces,Island Records,7,28,6,5732181,102YUQbYmwdBXS7jwamI90
21,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,10,19,47,5619029,17phhZDn6oGtzMe56NuWvj
22,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,11,29,20,5585577,3QaPy1KgI7nu9FJEQUgn6h
